stem,true_type,split,image_path,label_path,coloured_label_path,orig_width,orig_height,crop_target_width,crop_target_height,crop_note,orig_color_mode,tin_present,tin_pixel_count,tin_pixel_pct,total_pixels,px_Fe2B,pct_Fe2B,px_FeTiB,pct_FeTiB,px_Alpha,pct_Alpha,px_TiB2,pct_TiB2,px_TiN,pct_TiN
Class_III_C103F2x10000_3,III,train,images_class3\Class_III_C103F2x10000_3.jpg,labels\labels\Class_III_C103F2x10000_3.png,labels\coloured_labels\Class_III_C103F2x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,1258,0.102483,1227520,104822,8.539331,0,0.0,1052300,85.725691,69140,5.632495,1258,0.102483
Class_III_C103F2x10000_4,III,train,images_class3\Class_III_C103F2x10000_4.jpg,labels\labels\Class_III_C103F2x10000_4.png,labels\coloured_labels\Class_III_C103F2x10000_4.png,1280,1024,1280,959,crop_bottom_65px,L,True,1253,0.102076,1227520,119422,9.728721,0,0.0,1066071,86.847546,40774,3.321657,1253,0.102076
Class_III_C103F2x10000_5,III,train,images_class3\Class_III_C103F2x10000_5.jpg,labels\labels\Class_III_C103F2x10000_5.png,labels\coloured_labels\Class_III_C103F2x10000_5.png,1280,1024,1280,959,crop_bottom_65px,L,True,1600,0.130344,1227520,131822,10.738888,0,0.0,1053100,85.790863,40998,3.339905,1600,0.130344
Class_III_C103F3x10000,III,train,images_class3\Class_III_C103F3x10000.jpg,labels\labels\Class_III_C103F3x10000.png,labels\coloured_labels\Class_III_C103F3x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,1547,0.126026,1227520,208577,16.991739,0,0.0,995624,81.108577,21772,1.773657,1547,0.126026
Class_III_C103F3x10000_3,III,train,images_class3\Class_III_C103F3x10000_3.jpg,labels\labels\Class_III_C103F3x10000_3.png,labels\coloured_labels\Class_III_C103F3x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,2234,0.181993,1227520,98734,8.043372,0,0.0,1035655,84.369705,90897,7.40493,2234,0.181993
Class_III_C103F3x10000_4,III,train,images_class3\Class_III_C103F3x10000_4.jpg,labels\labels\Class_III_C103F3x10000_4.png,labels\coloured_labels\Class_III_C103F3x10000_4.png,1280,1024,1280,959,crop_bottom_65px,L,True,1623,0.132218,1227520,215498,17.555559,0,0.0,998225,81.320467,12174,0.991756,1623,0.132218
Class_III_C103F3x10000_5,III,train,images_class3\Class_III_C103F3x10000_5.jpg,labels\labels\Class_III_C103F3x10000_5.png,labels\coloured_labels\Class_III_C103F3x10000_5.png,1280,1024,1280,959,crop_bottom_65px,L,True,1098,0.089449,1227520,108928,8.873827,0,0.0,1045755,85.192502,71739,5.844222,1098,0.089449
Class_III_C103F3x10000_6,III,val,images_class3\Class_III_C103F3x10000_6.jpg,labels\labels\Class_III_C103F3x10000_6.png,labels\coloured_labels\Class_III_C103F3x10000_6.png,1280,1024,1280,959,crop_bottom_65px,L,True,1787,0.145578,1227520,182788,14.890837,0,0.0,1008002,82.116951,34943,2.846634,1787,0.145578
Class_III_C103F3x10000_7,III,train,images_class3\Class_III_C103F3x10000_7.jpg,labels\labels\Class_III_C103F3x10000_7.png,labels\coloured_labels\Class_III_C103F3x10000_7.png,1280,1024,1280,959,crop_bottom_65px,L,True,1649,0.134336,1227520,199340,16.239247,0,0.0,990032,80.653024,36499,2.973394,1649,0.134336
Class_III_C104F2x10000,III,test,images_class3\Class_III_C104F2x10000.jpg,labels\labels\Class_III_C104F2x10000.png,labels\coloured_labels\Class_III_C104F2x10000.png,1280,1024,1280,959,crop_bottom_65px,L,True,2258,0.183948,1227520,314945,25.657016,0,0.0,826422,67.324524,83895,6.834512,2258,0.183948
Class_III_C104F2x10000_2,III,train,images_class3\Class_III_C104F2x10000_2.jpg,labels\labels\Class_III_C104F2x10000_2.png,labels\coloured_labels\Class_III_C104F2x10000_2.png,1280,1024,1280,959,crop_bottom_65px,L,True,1180,0.096129,1227520,449226,36.596227,0,0.0,684619,55.772533,92495,7.535111,1180,0.096129
Class_III_C104F2x10000_3,III,val,images_class3\Class_III_C104F2x10000_3.jpg,labels\labels\Class_III_C104F2x10000_3.png,labels\coloured_labels\Class_III_C104F2x10000_3.png,1280,1024,1280,959,crop_bottom_65px,L,True,3349,0.272827,1227520,272710,22.216339,0,0.0,866678,70.603982,84783,6.906853,3349,0.272827
Class_III_C104F2x10000_4,III,test,images_class3\Class_III_C104F2x10000_4.jpg,labels\labels\Class_III_C104F2x10000_4.png,labels\coloured_labels\Class_III_C104F2x10000_4.png,1280,1024,1280,959,crop_bottom_65px,L,True,2426,0.197634,1227520,365435,29.770187,0,0.0,788098,64.202457,71561,5.829722,2426,0.197634
