patch_id,source_stem,true_type,split,y0,x0,patch_size,px_Fe2B,pct_Fe2B,px_FeTiB,pct_FeTiB,px_Alpha,pct_Alpha,px_TiB2,pct_TiB2,px_TiN,pct_TiN,tin_present,tin_pixel_count,tin_pixel_pct,total_pixels
0,Class_III_C103F2x10000_3,III,train,0,0,256,6927,10.569763,0,0.0,57915,88.371277,694,1.05896,0,0.0,False,0,0.0,65536
1,Class_III_C103F2x10000_3,III,train,0,128,256,2565,3.913879,0,0.0,61479,93.809509,1400,2.13623,92,0.140381,True,92,0.140381,65536
2,Class_III_C103F2x10000_3,III,train,0,256,256,3042,4.641724,0,0.0,59342,90.548706,3034,4.629517,118,0.180054,True,118,0.180054,65536
3,Class_III_C103F2x10000_3,III,train,0,384,256,4145,6.324768,0,0.0,58451,89.189148,2914,4.446411,26,0.039673,True,26,0.039673,65536
4,Class_III_C103F2x10000_3,III,train,0,512,256,4215,6.43158,0,0.0,57857,88.282776,3464,5.285645,0,0.0,False,0,0.0,65536
5,Class_III_C103F2x10000_3,III,train,0,640,256,2998,4.574585,0,0.0,57709,88.056946,4829,7.368469,0,0.0,False,0,0.0,65536
6,Class_III_C103F2x10000_3,III,train,0,768,256,8644,13.189697,0,0.0,53435,81.535339,3436,5.24292,21,0.032043,True,21,0.032043,65536
7,Class_III_C103F2x10000_3,III,train,0,896,256,11009,16.798401,0,0.0,52174,79.611206,2332,3.55835,21,0.032043,True,21,0.032043,65536
8,Class_III_C103F2x10000_3,III,train,0,1024,256,8484,12.945557,0,0.0,54116,82.574463,2847,4.344177,89,0.135803,True,89,0.135803,65536
9,Class_III_C103F2x10000_3,III,train,128,0,256,3728,5.688477,0,0.0,60966,93.026733,842,1.28479,0,0.0,False,0,0.0,65536
10,Class_III_C103F2x10000_3,III,train,128,128,256,3371,5.143738,0,0.0,59045,90.09552,3028,4.620361,92,0.140381,True,92,0.140381,65536
11,Class_III_C103F2x10000_3,III,train,128,256,256,2274,3.469849,0,0.0,60043,91.618347,3101,4.73175,118,0.180054,True,118,0.180054,65536
12,Class_III_C103F2x10000_3,III,train,128,384,256,3065,4.676819,0,0.0,61587,93.974304,858,1.309204,26,0.039673,True,26,0.039673,65536
13,Class_III_C103F2x10000_3,III,train,128,512,256,5742,8.761597,0,0.0,56742,86.581421,2949,4.499817,103,0.157166,True,103,0.157166,65536
14,Class_III_C103F2x10000_3,III,train,128,640,256,4431,6.761169,0,0.0,55745,85.06012,5257,8.021545,103,0.157166,True,103,0.157166,65536
15,Class_III_C103F2x10000_3,III,train,128,768,256,5542,8.456421,0,0.0,56667,86.46698,3306,5.044556,21,0.032043,True,21,0.032043,65536
16,Class_III_C103F2x10000_3,III,train,128,896,256,8467,12.919617,0,0.0,55420,84.564209,1628,2.484131,21,0.032043,True,21,0.032043,65536
17,Class_III_C103F2x10000_3,III,train,128,1024,256,7903,12.059021,0,0.0,55586,84.817505,1958,2.987671,89,0.135803,True,89,0.135803,65536
18,Class_III_C103F2x10000_3,III,train,256,0,256,7052,10.760498,0,0.0,55764,85.089111,2649,4.042053,71,0.108337,True,71,0.108337,65536
19,Class_III_C103F2x10000_3,III,train,256,128,256,7489,11.427307,0,0.0,53382,81.454468,4485,6.843567,180,0.274658,True,180,0.274658,65536
20,Class_III_C103F2x10000_3,III,train,256,256,256,6765,10.322571,0,0.0,56557,86.299133,2105,3.211975,109,0.166321,True,109,0.166321,65536
21,Class_III_C103F2x10000_3,III,train,256,384,256,4458,6.802368,0,0.0,60809,92.78717,269,0.410461,0,0.0,False,0,0.0,65536
22,Class_III_C103F2x10000_3,III,train,256,512,256,4183,6.382751,0,0.0,59443,90.70282,1807,2.757263,103,0.157166,True,103,0.157166,65536
23,Class_III_C103F2x10000_3,III,train,256,640,256,6941,10.591125,0,0.0,55543,84.751892,2949,4.499817,103,0.157166,True,103,0.157166,65536
24,Class_III_C103F2x10000_3,III,train,256,768,256,7336,11.193848,0,0.0,55398,84.53064,2802,4.275513,0,0.0,False,0,0.0,65536
25,Class_III_C103F2x10000_3,III,train,256,896,256,4638,7.077026,0,0.0,58716,89.593506,2182,3.329468,0,0.0,False,0,0.0,65536
26,Class_III_C103F2x10000_3,III,train,256,1024,256,1562,2.383423,0,0.0,63162,96.377563,812,1.239014,0,0.0,False,0,0.0,65536
27,Class_III_C103F2x10000_3,III,train,384,0,256,6951,10.606384,0,0.0,56540,86.273193,1974,3.012085,71,0.108337,True,71,0.108337,65536
28,Class_III_C103F2x10000_3,III,train,384,128,256,8756,13.360596,0,0.0,52187,79.631042,4413,6.733704,180,0.274658,True,180,0.274658,65536
